,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_loss,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
143,0.1896958827972412,0.004804391530823702,0.00039801597595214846,9.80315039478822e-06,0.02769422239127562,friedman_mse,squared_error,53,3,8,965,"{'ccp_alpha': 0.02769422239127562, 'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 53, 'max_features': 3, 'min_samples_split': 8, 'n_estimators': 965}",-1.0493538515544554,-1.3631658860578173,-1.166726484692401,-1.2579116208143752,-1.152441574370743,-1.1979198834979585,0.10584745673449686,267,-0.5907559283046014,-0.5832049227910228,-0.5401843679349919,-0.5727862353711434,-0.6200595102069308,-0.581398192921738,0.025916304217360894
144,0.8446942806243897,0.05575181743737884,0.0005452156066894532,2.4766813666481705e-05,0.05678876884992291,squared_error,absolute_error,17,5,4,610,"{'ccp_alpha': 0.05678876884992291, 'criterion': 'squared_error', 'loss': 'absolute_error', 'max_depth': 17, 'max_features': 5, 'min_samples_split': 4, 'n_estimators': 610}",-1.0899312413206468,-1.2310540223987951,-1.1474900343271541,-1.1455545806695788,-0.860968317312657,-1.0949996392057664,0.12539392900503796,21,-0.28807520931772407,-0.10200695454990161,-0.22901415898315514,-0.25881503732269745,-0.3574170263315388,-0.24706567730100343,0.08410129579235923
145,0.08475909233093262,0.0010055961567572204,0.0003284931182861328,6.463562417578982e-06,0.005393696205680663,friedman_mse,squared_error,46,log2,9,455,"{'ccp_alpha': 0.005393696205680663, 'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 46, 'max_features': 'log2', 'min_samples_split': 9, 'n_estimators': 455}",-1.1475617058216088,-1.5181787032510596,-1.1745079874474245,-1.330447716421332,-1.153975587563148,-1.2649343401009145,0.14331072202793307,356,-0.28445581233592415,-0.2808712629648129,-0.28905952773592913,-0.274198542566303,-0.30440918343962303,-0.28659886580851845,0.010143257861997735
146,0.45628938674926756,0.005071722058579093,0.0003585338592529297,5.795876707624404e-06,0.02376658636443037,friedman_mse,huber,15,4,8,662,"{'ccp_alpha': 0.02376658636443037, 'criterion': 'friedman_mse', 'loss': 'huber', 'max_depth': 15, 'max_features': 4, 'min_samples_split': 8, 'n_estimators': 662}",-1.0634689019883816,-1.3738618963695137,-1.1803643914228341,-1.3405076699046838,-1.1271797545518918,-1.2170765228474612,0.12069914013283141,312,-0.6335777352212998,-0.5960642466279631,-0.5960854029837634,-0.5818594766597108,-0.5929533237814119,-0.6001080370548297,0.017532566268289734
147,0.1392580509185791,0.0010412874011474745,0.0003752708435058594,3.6408632600443027e-06,0.0008971387830246111,squared_error,squared_error,15,3,8,725,"{'ccp_alpha': 0.0008971387830246111, 'criterion': 'squared_error', 'loss': 'squared_error', 'max_depth': 15, 'max_features': 3, 'min_samples_split': 8, 'n_estimators': 725}",-1.0276124836617255,-1.4740917275193537,-1.1976625864764747,-1.257231468862967,-1.296698875545016,-1.2506594284131074,0.14466749428255948,345,-0.12251949146152932,-0.1171281366637162,-0.12249890603320758,-0.11715743809747173,-0.12667891205666987,-0.12119657686251895,0.0036433229640170095
148,0.04218997955322266,0.003840854901676038,0.00027909278869628904,1.9752803017814616e-06,0.010154876578974157,squared_error,squared_error,60,7,9,182,"{'ccp_alpha': 0.010154876578974157, 'criterion': 'squared_error', 'loss': 'squared_error', 'max_depth': 60, 'max_features': 7, 'min_samples_split': 9, 'n_estimators': 182}",-1.0444793017570584,-1.5151465725386755,-1.300311292264938,-1.494176735121839,-1.3115168342351988,-1.3331261471835423,0.169664083179572,370,-0.42096111335816383,-0.40669347435154524,-0.4336683915416543,-0.39801610318408953,-0.43350859404020464,-0.4185695352951315,0.014285341975972931
149,0.21257319450378417,0.0038327850034111585,0.00031337738037109377,7.725056301207821e-06,0.06409154173208796,friedman_mse,huber,29,1,7,317,"{'ccp_alpha': 0.06409154173208796, 'criterion': 'friedman_mse', 'loss': 'huber', 'max_depth': 29, 'max_features': 1, 'min_samples_split': 7, 'n_estimators': 317}",-1.2593877512580152,-1.2728437512806405,-1.1216899007490229,-1.3341105433473184,-0.9151992558337163,-1.1806462404937426,0.14979309091161,212,-0.8681590969551065,-0.8311965153403035,-0.810469971517876,-0.8546085777095336,-0.9128699279492233,-0.8554608178944084,0.03484454378474715
150,0.6709281444549561,0.01349254312079614,0.0004187107086181641,1.2666647557256905e-05,0.010531442293439006,squared_error,huber,16,log2,7,966,"{'ccp_alpha': 0.010531442293439006, 'criterion': 'squared_error', 'loss': 'huber', 'max_depth': 16, 'max_features': 'log2', 'min_samples_split': 7, 'n_estimators': 966}",-1.2089300664982203,-1.4174494755053872,-1.1782834623665501,-1.2288540192830855,-1.102693490338752,-1.227242102798399,0.10433223750966544,329,-0.4281368041415641,-0.42480487243212844,-0.39133581973589754,-0.5056314044200892,-0.4231518204792603,-0.43461214424178796,0.03791049250409825
151,0.7657755851745606,0.03773785991305267,0.0004978656768798828,1.0782636746229666e-05,0.05105125727871133,squared_error,absolute_error,47,7,6,519,"{'ccp_alpha': 0.05105125727871133, 'criterion': 'squared_error', 'loss': 'absolute_error', 'max_depth': 47, 'max_features': 7, 'min_samples_split': 6, 'n_estimators': 519}",-1.124288899419414,-1.2469528275182236,-1.104338224744412,-1.1613566678743796,-0.9648767150831901,-1.1203626669279239,0.09181901343600758,47,-0.2823345074798909,-0.08015474615871794,-0.25240005943069255,-0.2854947465283418,-0.3351061170185638,-0.2470980353232414,0.08758939673477657
152,0.1968045711517334,0.004261775735218249,0.00030117034912109376,5.64886020465219e-06,0.10193951811019658,friedman_mse,huber,21,log2,3,288,"{'ccp_alpha': 0.10193951811019658, 'criterion': 'friedman_mse', 'loss': 'huber', 'max_depth': 21, 'max_features': 'log2', 'min_samples_split': 3, 'n_estimators': 288}",-1.226960688760135,-1.293795560174198,-1.0845957759715803,-1.2632654454699639,-0.9660445942338711,-1.1669324129219496,0.12337985465407139,169,-0.9750754128206817,-0.9533950841620212,-0.9784814923703612,-0.9544432801041981,-1.0385919690936598,-0.9799974477101845,0.031050100523469668
