,NMF1,NMF2,NMF3,NMF4,NMF5,Class
C20 H24 O9,0.3194187116301656,0.5747868036958418,0.4670593319649402,0.6679935147867695,0.897301032816436,lignin
C19 H22 O9,0.3091486178519034,0.6482205551474629,0.4566386449408007,0.6515292801606274,0.9145588582078844,lignin
C17 H22 O10,0.3089493704784872,0.6448120170769123,0.4555367421828342,0.6485026909457066,0.9155501897348371,lignin
C21 H26 O11,0.2962549709151433,0.6448566421746779,0.4581381156456589,0.6491531772703136,0.9225235035679528,lignin
C17 H20 O8,0.3151406914382289,0.6570172825653158,0.459467995541639,0.6494689494791905,0.8381663817682304,lignin
C20 H26 O11,0.3106684332348726,0.6511109440180358,0.4553290888964474,0.6487720377800757,0.8780696878632971,lignin
C19 H20 O9,0.2956378425639678,0.6656082364675495,0.4541357486925121,0.5964781684344452,0.8765963320733503,lignin
C16 H18 O10,0.3747072904551315,0.6709841750004338,0.4498285637376669,0.6358085153784827,0.9056346623300952,lignin
C15 H16 O9,0.3733062219982926,0.6709563797100164,0.4510267562114622,0.6368314668621519,0.9075500764735144,lignin
C16 H18 O9,0.3716383298747028,0.672476605362788,0.4502977623240495,0.6359027380880411,0.9066386030277642,lignin
C18 H18 O9,0.3718159618511035,0.6698237216255072,0.4529386698544224,0.6380320651077596,0.9076232244112366,lignin
C17 H18 O9,0.3740912641635953,0.6736127579419018,0.4531084992995231,0.6383926251898506,0.9061517120673008,lignin
C16 H20 O9,0.368165940325875,0.6678567228292199,0.4518330284623014,0.6373825081757785,0.9445866028077304,lignin
C15 H18 O9,0.3702719262028806,0.6660750527467852,0.4517726137252737,0.6397804739211986,0.9450845544442608,lignin
C17 H20 O9,0.3628358789742149,0.6622195005330912,0.4498546546313404,0.6350152566438074,0.9821086190834416,lignin
C17 H20 O10,0.361477865983737,0.6613231425837345,0.4505321826400739,0.6379120406886322,0.983563540413277,lignin
C18 H22 O9,0.3512930565934675,0.6604454219389352,0.4498977682422279,0.6339428260670025,0.9908544431251926,lignin
C20 H26 O10,0.3040474592966796,0.6390859060846943,0.4535519649465662,0.6469604302680696,0.9944648690069384,lignin
C18 H22 O8,0.3760558357514358,0.6624081229085249,0.4553552593355285,0.6412567919791823,0.8746265731415225,lignin
C16 H16 O10,0.3803163231763843,0.6770825902511474,0.4532436867196396,0.6393911911812855,0.8683421919516917,lignin
C14 H16 O8,0.3811242831728217,0.6765013794818701,0.4522983690964182,0.6377929456621307,0.8679084659741897,lignin
C18 H20 O8,0.3833568055338622,0.6688319679901081,0.4573814399564218,0.6374330936887072,0.8349534028464871,lignin
C15 H18 O7,0.3865553833559539,0.6685876345340256,0.4567175539850817,0.6394359790544997,0.8343584859497707,lignin
C14 H16 O9,0.3880736207898942,0.6822962958678526,0.4550306345273523,0.6398676598008746,0.8299109143654438,lignin
C16 H16 O9,0.3856230659479501,0.6827009342430909,0.4542755895189698,0.6391400781451023,0.8283339569096707,lignin
C13 H14 O7,0.3676911279490239,0.6859202876057426,0.4627814594927739,0.6484402888693903,0.7297659310235594,lignin
C16 H16 O8,0.4039191595172217,0.6820535289093513,0.462119800792845,0.6436101468785552,0.7147164064777808,lignin
C17 H16 O9,0.4011551438483381,0.6945283123149525,0.459111234388816,0.6419757435605704,0.7488132263269456,lignin
C13 H16 O8,0.3969249129698493,0.674587762103162,0.4623380733911384,0.643644799946467,0.7571133788610424,lignin
C14 H18 O9,0.4015794869030731,0.6554307418482679,0.4615397954537572,0.6427543975539802,0.7703602344214433,lignin
C17 H18 O8,0.3929900841683021,0.6740059086682103,0.4598572907661463,0.6433878450137775,0.7965289091415603,lignin
C16 H20 O7,0.3950674164946869,0.6456296083145514,0.4622273064111371,0.6434063000959221,0.8139996156783756,lignin
C23 H28 O12,0.4196434716842306,0.6054799138056798,0.4672346102704575,0.6531694811183266,0.7680648491862071,lignin
C21 H28 O10,0.4185968907290835,0.5730644195218696,0.472603527552461,0.6618295616072686,0.7812291921031492,lignin
C22 H28 O10,0.4163284261957172,0.5701005257647882,0.4758913381096638,0.6608120094521885,0.7804002313008579,lignin
C20 H24 O10,0.3041561874988165,0.6500665319639413,0.2612665331152304,0.6638128854711237,0.9979612961873556,lignin
C19 H24 O10,0.3110256257920427,0.6391997382422708,0.2300797021119942,0.5441525669691559,0.9757403242311836,lignin
C19 H24 O11,0.2693954481530532,0.6548320586059682,0.2317397352219746,0.5438173660287168,0.9129404600857808,lignin
C19 H22 O10,0.1852560876021196,0.6601409189090879,0.2339478163035631,0.5420679393090683,0.9535834304583588,lignin
C18 H22 O11,0.1622214005755356,0.6786853984430782,0.2390099667213833,0.5451831306209998,0.8479174000509381,lignin
C18 H18 O10,0.205102415905085,0.6785161363710854,0.2331765241456903,0.3936887248122427,0.8881034907641143,lignin
C18 H20 O10,0.2784655993586413,0.6575260729464101,0.2256052530514413,0.397949326150515,0.8423804256118655,lignin
C18 H22 O10,0.3737743969704982,0.6720238473951796,0.1641109754685145,0.398991617852163,0.9391572118778684,lignin
C17 H20 O11,0.3248086348576855,0.6798797925989336,3.090388119151871e-06,0.4185019146815799,0.937963986143775,lignin
C20 H24 O11,0.2879863426758268,0.6491651933556081,3.090388119151871e-06,0.5733581991592803,0.9070133387329096,lignin
C17 H18 O11,0.304712226680443,0.6601489120634131,3.090388119151871e-06,0.7030892833860624,0.8557684891367201,lignin
C22 H20 O14,0.4936152174799483,0.726977787546296,0.2775911399461446,0.0947521203650194,0.4447743393495054,lignin
C22 H18 O13,0.4956629444769329,0.7252691805177186,0.277814801745799,0.094170453351527,0.4446723967850891,lignin
C17 H14 O11,0.4972325278713387,0.716231132139132,0.1814633189080388,0.0578258300073616,0.4580338409495428,lignin
C19 H16 O12,0.4818537364480477,0.6752486634160637,0.0082344821725218,3.5873342110026204e-06,0.5004241031893238,lignin
C19 H16 O11,0.4716155022120841,0.7393229934852981,3.090388119151871e-06,0.138327943888761,0.5221257395352363,lignin
C20 H16 O12,0.4705698980825264,0.7426013114235752,3.090388119151871e-06,0.1386757026938489,0.522535095156471,lignin
C21 H18 O13,0.4958617660545794,0.7199988399884577,3.090388119151871e-06,0.3226708911839674,0.5358035927730428,lignin
C20 H18 O12,0.2983059790442358,0.6718781229535115,3.090388119151871e-06,3.5873342110026204e-06,0.6524659629815395,lignin
C18 H16 O11,0.267369436740324,0.7471454397407744,3.090388119151871e-06,3.5873342110026204e-06,0.6923543740328361,lignin
C21 H20 O13,0.1690192926560448,0.7551978799744733,3.090388119151871e-06,0.1320123890692451,0.7091978664988197,lignin
C19 H18 O12,0.130587755456172,0.6112732235274763,3.090388119151871e-06,3.5873342110026204e-06,0.7570158974359731,lignin
C18 H18 O11,2.4256377054600782e-06,0.6378034667314474,3.090388119151871e-06,3.5873342110026204e-06,0.7781926678335925,lignin
C19 H20 O12,2.4256377054600782e-06,0.676292513137693,3.090388119151871e-06,3.5873342110026204e-06,0.7756777650473493,lignin
C20 H22 O12,2.4256377054600782e-06,0.6671266546231119,3.090388119151871e-06,3.5873342110026204e-06,0.8537514642491667,lignin
C20 H20 O12,2.4256377054600782e-06,0.7052232331353281,3.090388119151871e-06,3.5873342110026204e-06,0.8490361505661813,lignin
C20 H22 O11,0.0015581456120844,0.6972894450517635,3.090388119151871e-06,0.0146405477760475,0.8728194061478777,lignin
C19 H20 O11,2.4256377054600782e-06,0.6931800800632897,3.090388119151871e-06,0.0224835842708175,0.878514327041185,lignin
C20 H20 O11,2.4256377054600782e-06,0.7516845070657877,3.090388119151871e-06,0.0163033058672733,0.8810621906421077,lignin
C19 H22 O12,0.1082235590094327,0.6572318927339577,3.090388119151871e-06,0.1845348226156808,0.904449252807089,lignin
C19 H22 O11,0.1590287713708149,0.7024980896762829,3.090388119151871e-06,0.2636751494839525,0.9700112627177496,lignin
C19 H20 O10,0.2002967095204227,0.7143002431204246,3.090388119151871e-06,0.3240799167901504,0.846437555331032,lignin
C18 H20 O11,0.141638295310105,0.6657636812275428,3.090388119151871e-06,0.4032281434957431,0.7971205078354566,lignin
C22 H24 O11,0.2239310797950289,0.7664103876623615,0.5045001223408369,3.5873342110026204e-06,0.8707377131742533,lignin
C23 H26 O12,0.1928078761397175,0.7135657565878052,0.4980492681981597,0.1142795556370274,0.8438976554168777,lignin
C18 H24 O11,0.2466361633256392,0.7150221976723935,0.5001912271597294,0.1258908338962059,0.78815538745622,lignin
C20 H20 O10,0.2350438484483651,0.7521413620270704,0.4882690807955431,0.1824200892730299,0.8276869073597591,lignin
C22 H22 O14,0.1803596616716982,0.7362388409138962,0.503451157051589,0.16262898310019,0.653769058097897,lignin
C21 H26 O13,0.2622098690242194,0.725990733403641,0.5026163677721464,0.160767265835766,0.707052611506731,lignin
C20 H18 O11,0.2670661449182377,0.7706041828538084,0.3113006541177953,0.1860009616115703,0.6517959072254088,lignin
C19 H18 O10,0.2337687654457415,0.7665466327853323,0.2969948898439287,0.2019127829635427,0.8349888707477415,lignin
C20 H22 O10,0.1913579413566013,0.7056314061717756,0.2514505303928684,0.1292421462561276,0.8583484286982366,lignin
C16 H20 O10,0.1352860986898414,0.700648256865758,0.258263594548785,0.0529580863398668,0.9286876920778572,lignin
C19 H18 O11,0.2409456032378913,0.7492839901055193,0.2815438109059299,3.5873342110026204e-06,0.8062211583654326,lignin
C17 H16 O11,0.252115678992469,0.7485649275490852,0.1863404467079178,0.0847678490075104,0.7451498566757595,lignin
