Sample,mean_GWC,K_mg_per_kg,SO4.S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,Ca_Meq_per_100_g,Mg_Meq_per_100_g,Na_Meq_per_100_g,Total_Bases_Meq_per_100_g,CEC_Meq_per_100_g,Total_Sulfur_pct,Total_Nitrogen_pct,Total_Carbon_pct,C_to_N_ratio,NO3.N_mg_per_g_of_soil_mean,NH4.N_mg_per_g_of_soil_mean,P_Bicarb_mg_per_g_of_soil_mean,pH,B.glucosidase_ug_pNP_per_g_per_hour,Respiration_96_h_ug_CO2.C_per_g_soil_per_day,Respiration_24_h_ug_CO2.C_per_g_soil_per_day,Sand_pct,Silt_pct,Clay_pct,Lat,Long,Elev.m,Soil.Temperature.C,VolWaterContent.m3.m3,Kmeans,NMF1,NMF2,NMF3,NMF4,NMF5,NMF6,NMF7
NOGP_TOP,1.18,824.0,15.0,0.52,4.5,98.5,3.7,62.0,14.06,4.25,0.05,20.47,31.31,135.24,0.448,4.485,10.011,0.0024,0.0034,0.0027,6.37,66.7,,174.5,26.8,46.1,27.1,46.770404,-100.913635,573.0,33.8,0.093,1,0.6326081618439157,0.30647127955219816,1.8063407153542181e-10,0.37963238955607254,0.026457434683319507,1.0,0.1071139129100475
NWBA_TOP,1.32,48.0,6.0,0.23,14.0,18.3,3.7,36.0,4.89,1.03,0.05,6.09,8.43,178.39,0.196,2.846,14.52,0.0027,0.0008,0.0117,7.15,77.85,54.97,117.12,78.02,11.99,9.99,38.993891,-76.977789,44.0,13.0,0.3155,0,0.008098387728149551,0.3906690466757628,0.16214753681956737,1.1751248762641272e-11,1.0,2.7117678947612006e-10,3.628591771614405e-10
NWBB_TOP,1.272,84.0,25.0,0.11,1.6,51.2,1.0,49.0,1.18,0.44,0.07,1.91,8.25,118.11,0.174,2.08,11.954,0.0015,0.0015,0.0207,6.01,16.15,32.93,49.92,68.89,16.59,14.52,38.994073,-76.977954,44.0,17.7,0.2645,0,1.0,0.5944579321985088,0.019575185434226306,7.381329585706937e-10,5.956483726182886e-10,2.4307213149114965e-10,2.4068709595645287e-11
NWBC_TOP,1.389,238.0,14.0,0.25,5.6,62.7,1.3,64.0,6.43,2.3,0.06,9.4,24.83,252.91,0.415,4.954,11.937,0.0028,0.0014,0.0097,5.89,197.14,108.19,200.02,52.01,29.99,18.0,38.99425,-76.978175,44.0,16.7,0.3055,1,6.699051304537662e-10,5.178906493161469e-10,1.5396982167641028e-10,4.7312237737924136e-11,3.4299741034215793e-10,0.3637002401374141,1.0
OAES_TOP,1.138,325.0,8.0,0.94,0.8,2.0,0.3,2.0,16.24,2.6,0.09,19.76,19.11,297.32,0.222,2.647,11.923,0.0008,0.0015,0.0013,8.3,35.6,,27.8,26.8,42.1,31.1,35.410599,-99.058779,,,,0,0.10630564471386604,1.0,0.07839601935381295,0.7912422910216771,0.3641517423366497,1.7594943486801844e-09,2.6061078242759286e-10
OCTB_TOP,1.095,662.0,2.0,0.51,0.9,8.1,1.3,21.0,7.91,3.78,0.11,13.5,15.62,53.78,0.111,0.849,7.649,0.0015,0.0012,0.0588,6.54,73.7,12.48,34.2,28.16,57.87,13.97,43.3055054,-116.2432178,963.0,21.6,0.101,0,1.0,0.22071246104710876,0.3480184986184138,2.531282787946716e-10,0.1301858740438741,2.2364543699853935e-10,2.842256961940235e-10
OCTU_TOP,1.087,604.0,2.0,0.41,1.0,11.6,1.4,27.0,7.63,3.54,0.1,12.82,15.0,65.6,0.131,1.039,7.931,0.0016,0.0,0.0837,5.98,100.22,10.86,22.34,28.07,57.94,13.99,43.3055281,-116.2429905,963.0,21.0,0.104,0,2.2059674373591946e-09,0.11140071932374998,1.0,6.665204511906324e-10,0.5647465346457269,3.018057230748856e-10,1.2435671014234992e-10
OKPF_TOP,,98.0,2.0,0.36,1.2,1.1,0.1,35.0,0.9,0.84,0.2,2.19,6.61,374.51,0.742,16.945,22.837,0.0,0.0,1.666666667,3.72,95.56,83.1,228.65,69.11,22.07,8.83,41.551919,-70.635356,1.0,6.5,0.2175,1,1.974838449748789e-14,1.4330542656526463e-14,1.0,4.012461067121419e-14,9.550389371961268e-12,2.9022023513704775e-15,6.335101375450497e-15
ONAQ_TOP,1.035,395.0,5.0,0.67,0.5,3.1,0.9,5.0,14.62,1.19,0.12,16.94,9.27,343.18,0.069,2.076,30.087,0.001,0.0009,0.0057,8.56,15.5,,12.0,37.3,37.8,25.0,40.17647,-112.4546,1627.0,37.1,0.05,0,3.7065202221679354e-11,0.2429999822713527,1.0,2.698911963665952e-11,7.69653504313291e-10,1.5048558739101085e-12,1.177544351735529e-12
ORNL_TOP,1.187,109.0,15.0,0.17,1.3,62.5,1.7,24.0,1.35,0.42,0.09,2.14,9.3,159.79,0.242,3.761,15.541,0.0004,0.0015,0.0017,4.94,35.8,,331.1,37.3,39.8,23.0,35.96337,-84.28182,310.0,23.2,0.382,1,1.0,0.4920496884989219,5.215879004725072e-10,0.17651318202110802,3.4735028250320637e-09,0.6373364262201522,0.01830411642675395
OSBS_TOP,1.062,92.0,2.0,0.14,0.2,2.3,0.1,33.0,1.59,0.5,0.1,2.43,1.7,30.12,0.058,0.818,14.103,0.0004,0.001,0.0017,5.08,7.2,,15.2,91.3,1.9,6.9,29.691389,-81.988611,40.0,26.0,0.097,0,5.165947725670274e-10,0.32350894264127233,0.007356564631247866,4.3332404597123526e-12,1.0,8.588246304026427e-11,1.2433721249809443e-10
PETF_TOP,,56.0,10.0,0.2,1.0,6.1,0.5,95.0,3.61,0.95,0.09,4.79,7.79,152.63,0.219,2.192,10.009,0.4,1.166666667,6.666666667,5.81,98.85,52.99,91.71,42.01,39.99,18.0,41.553175,-70.639839,1.0,6.6,0.419,0,1.738270023764555e-11,1.1716406902294573e-11,1.0,7.318025550246919e-13,0.7584583094137594,2.495292484558398e-12,4.386822040437288e-12
PHTU_TOP,1.168,34.0,6.0,0.11,0.4,1.7,0.5,35.0,4.32,0.46,0.04,4.91,5.89,72.86,0.127,1.701,13.394,0.0006,0.0008,0.0078,7.09,92.52,21.81,44.83,88.03,3.99,7.98,39.982739,-75.154164,20.0,19.1,0.345,0,1.2457807408443832e-10,1.0,0.685154942332006,6.32628685220717e-12,4.079725044631268e-09,2.3080211050564515e-11,1.957999516008473e-11
PPRH_TOP,1.36,115.0,3.0,0.08,0.6,2.0,0.7,48.0,11.41,2.07,0.08,13.85,9.43,240.2,0.283,3.02,10.671,0.0016,0.0012,0.019,6.42,119.53,2.74,7.53,26.03,55.98,17.99,40.050291,-75.033307,31.0,16.5,0.4505,0,3.5269077898263114e-11,0.6738495272196079,1.0,1.6175887498534595e-11,1.9598331897855983e-10,6.277672444447584e-13,9.28820457742269e-13
PRS1_TOP,1.129,598.0,8.0,0.51,4.6,3.9,2.5,16.0,11.13,1.74,0.15,14.55,25.99,116.67,0.089,0.854,9.596,0.333333333,0.433333333,0.0,7.75,50.14,15.54,26.5,58.02,31.99,10.0,46.251743,-119.728729,300.0,3.6,0.177,0,4.051660851324436e-11,0.03353347707255494,1.0,3.0640564722147964e-13,5.633139443214005e-10,1.1508986028957516e-12,9.343825779832398e-13
PRS2_TOP,1.138,1498.0,11.0,0.76,1.4,4.8,0.6,15.0,9.98,2.49,0.09,16.4,13.23,188.92,0.18,1.728,9.6,1.233333333,0.566666667,0.0,8.09,188.76,34.88,50.29,56.1,31.93,11.97,46.251755,-119.728843,300.0,3.4,0.194,0,2.9695634744963657e-13,2.6225416356358564e-12,1.0,6.068611892638075e-13,1.0408716857655027e-11,8.794902191905085e-14,1.9916465678751467e-14
RMNP_TOP,1.052,86.0,2.0,0.26,0.3,1.1,0.1,71.0,2.96,0.53,0.05,3.76,6.21,31.03,0.08,0.797,9.962,0.0015,0.0015,0.0359,5.55,56.3,,67.7,67.2,23.8,9.1,40.20332,-105.480967,2585.0,31.6,0.045,0,3.310739641113156e-10,7.768823275606037e-10,0.039918512449499344,8.26674957322046e-12,1.1816887186806175e-09,7.938350594230271e-11,1.0
SCBI_TOP,1.319,240.0,13.0,0.58,6.0,42.9,3.2,96.0,10.73,2.95,0.06,14.36,21.73,73.1,0.431,4.036,9.364,0.0017,0.0049,0.0037,6.72,51.0,,727.1,27.1,39.8,33.1,38.8896,-78.13865,312.0,22.1,0.23,2,8.50119463299825e-13,1.7265589364391516e-10,1.0,5.445739768424313e-14,2.2420543596083235e-10,3.5603195339876815e-14,1.2135780386147422e-13
SERC_TOP,1.551,194.0,23.0,0.36,4.5,35.5,1.7,153.0,3.55,1.44,0.13,5.62,19.03,230.41,0.27,3.959,14.663,0.0005,0.0031,0.0192,5.34,75.4,,443.7,39.1,37.8,23.1,38.8912,-76.56173,24.0,22.3,0.466,1,5.0658960149556494e-11,1.0,0.7152527691337713,4.8891211868866315e-11,2.7975181908333295e-10,4.999728835497401e-12,3.5360900399335356e-12
SJER_TOP,1.01,460.0,5.0,0.47,2.7,20.3,0.3,75.0,5.85,0.79,0.11,7.93,12.82,164.38,0.281,2.852,10.149,0.0019,0.0032,0.0228,6.72,380.4,,81.4,63.1,24.0,13.0,37.111218,-119.736475,383.0,31.8,0.027,0,1.7241062501082992e-11,1.0,0.4170570577205635,1.663133858148131e-12,0.056175068200846764,5.316156006043333e-10,2.714919043204539e-11
SOAP_TOP,1.147,322.0,5.0,0.31,0.9,10.0,0.2,39.0,4.1,0.75,0.1,5.78,3.46,164.02,0.229,4.303,18.79,0.0004,0.003,0.019,5.93,159.1,,226.4,61.1,27.9,11.1,37.033662,-119.263687,1169.0,25.7,0.042,1,2.8891544624237317e-15,1.991180963265591e-13,1.0,1.0621565247055907e-14,1.4451793439572874e-11,1.7613963048850148e-16,2.748929231709518e-16
SRER_TOP,1.001,199.0,2.0,0.36,0.5,2.4,2.9,3.0,13.11,0.53,0.08,14.23,6.42,378.0,0.032,2.434,76.062,,,,8.57,30.6,,24.0,65.2,23.9,11.0,31.9114,-110.8359,,,,0,9.626682119140469e-12,6.879566795748981e-11,0.027468900367310336,9.143548820356986e-13,1.0,2.1070482617513416e-12,1.486882031896101e-11
SRR1_TOP,1.002,122.0,6.0,0.16,1.3,20.3,0.9,14.0,1.55,0.51,0.08,2.45,2.87,107.77,0.065,0.339,5.215,0.0009,0.0008,0.0027,7.75,11.4,,47.8,73.0,12.0,15.1,31.799945,-110.87298,1160.0,37.8,0.025,0,8.896869034595634e-12,1.3318028974731049e-10,0.3318347397848332,7.78145284189448e-13,1.0,1.2768542714040262e-12,2.2159684467204924e-12
STER_TOP,1.039,,,,,,,,,,,,,,,,,0.0081,0.0016,0.0042,8.41,56.2,,18.0,57.0,20.0,23.1,40.462975,-103.030463,1366.0,39.0,0.056,0,0.005325385395498338,1.0,0.23528763321521456,0.002530881286139343,0.08239510745393905,0.7133217348338027,0.010342487408142502
TALL_TOP,1.111,71.0,7.0,0.2,0.5,10.4,0.1,49.0,1.01,0.18,0.1,1.47,5.04,75.1,0.102,2.578,25.275,,,,6.17,14.1,,69.1,66.9,20.1,13.0,32.950693,-87.392825,,,,0,1.9070585320776834e-10,1.0009222021186152e-10,1.0,4.723530027332455e-11,6.0511126307541005e-12,1.1644243002778246e-11,1.5310788016191003e-12
TEAK_TOP,1.133,75.0,2.0,0.14,0.1,4.8,0.1,18.0,0.78,0.2,0.08,1.25,7.34,94.8,0.136,2.797,20.566,0.0007,0.0017,0.041,6.82,26.7,,20.3,74.9,18.1,7.0,37.00583,-119.00602,,,,0,8.134936741664217e-11,1.0,0.30557584920139863,1.5108293273739656e-11,2.934448590702375e-10,7.051170172638852e-12,3.4742325490055917e-12
UKFS_TOP,1.296,382.0,12.0,0.95,4.8,14.8,0.7,50.0,18.83,2.42,0.13,22.36,24.16,297.39,0.413,4.576,11.08,0.0044,0.004,0.0036,6.94,86.0,,185.7,16.9,50.1,33.1,39.0407,-95.19161,274.0,25.9,0.335,1,9.118378097683037e-11,1.0,0.4073618044861401,1.0813126330720837e-10,1.590877585285586e-10,5.62603807227071e-12,2.837971176142288e-12
UT12_TOP,1.576,323.0,27.0,1.0,1.2,34.1,2.7,311.0,24.93,5.72,0.19,31.67,54.47,213.55,0.674,9.547,14.165,0.0009,0.0053,0.0011,6.05,416.1,,508.8,30.8,22.1,47.1,40.84693464,-109.7125711,2473.0,32.1,0.423,2,1.0,0.5491285304289935,2.1134594804042384e-10,1.2530672064412562e-10,5.080419161432351e-10,2.6741438610578e-10,9.166445682105486e-11
UT19_TOP,1.13,271.0,6.0,0.64,1.0,11.7,0.4,64.0,16.89,4.97,0.07,22.62,31.5,43.38,0.203,3.938,19.399,0.0004,0.0021,0.0023,7.35,93.9,,216.3,30.8,34.2,35.1,40.70183709,-109.5818412,2610.0,19.5,0.111,1,7.407322354727099e-11,1.0,0.8236264764102624,4.3804865114674375e-12,2.9655711301587235e-09,0.0072084095879710285,9.937832597978593e-12
UT23_TOP,1.532,,,,,,,,,,,,,,,,,0.0024,0.0118,0.0008,6.76,2648.6,,736.5,61.0,28.1,11.0,40.68529298,-109.4999502,2502.0,26.8,0.108,2,1.4722274161188025e-09,8.990102999737071e-10,0.0851822884501386,5.7265723661162755e-11,9.130851332467432e-10,1.0,2.2558038174265275e-10
UT24_TOP,1.121,411.0,7.0,0.62,1.4,57.9,0.3,60.0,21.41,2.94,0.08,25.48,37.37,111.32,0.314,6.886,21.93,0.0009,0.003,0.0018,6.32,281.6,,733.2,45.1,28.0,27.0,40.68204,-109.647218,2746.0,25.8,0.147,2,8.591243183264748e-10,8.637905548747037e-10,0.09717832285808203,3.08262727415868e-10,1.4648950926089014e-09,1.0,6.768089107563026e-11
UT32_TOP,1.028,,,,,,,,,,,,,,,,,0.0019,0.0015,0.0081,6.54,102.8,,34.8,65.0,20.1,15.0,40.6195637,-109.61135,2362.0,39.0,0.082,0,2.500423832074559e-10,3.1303397072853797e-09,0.3153684553275494,8.577208864220539e-12,1.0,2.4957827555289928e-11,1.3385709134368472e-11
WLLO_TOP,1.303,49.0,4.0,0.23,0.01,0.7,1.0,7.0,10.79,3.53,0.07,14.52,12.8,129.85,0.188,2.513,13.367,0.0004,0.0023,0.0087,7.58,87.2,36.9,114.1,60.02,23.99,15.99,39.290382,-76.744543,139.0,12.8,0.388,0,6.055526291953174e-13,2.8499710691276472e-11,1.0,9.829945129273664e-12,2.4730289095379773e-11,5.5789111657041444e-14,2.159328884700163e-14
WLUP_TOP,1.481,117.0,6.0,0.84,0.6,5.6,0.7,4.0,13.88,3.31,5.81,23.3,21.94,460.22,0.356,5.589,15.699,0.0021,0.0012,0.0197,7.68,95.09,74.65,88.49,40.34,39.09,20.57,39.290308,-76.74376,139.0,13.9,0.422,0,5.0364178823593925e-14,1.0642840887003749e-11,1.0,2.8440509745316785e-15,8.789246214615852e-11,3.8491133671983454e-16,8.770707061325416e-15
WSU1_TOP,1.227,38.0,4.0,0.07,0.3,1.0,0.3,12.0,1.3,0.2,0.03,1.63,10.77,,0.123,3.237,26.317,0.0015,0.0037,0.0074,6.51,62.66500428,11.20933608,21.73528572,74.93,16.72,8.36,44.6464,-121.7101,,,,0,1.1685241738289923e-10,0.6194782277867423,1.0,1.996423301294197e-09,9.070267549312728e-10,5.75348384096076e-12,4.404249850717636e-12
WSU2_TOP,1.222,79.0,5.0,0.08,0.4,22.5,0.2,15.0,2.68,0.39,0.07,3.34,11.24,,0.103,5.132,49.825,0.0012,0.0142,0.0034,6.37,127.1468625,24.2729164,41.88991573,73.64,18.25,8.11,44.6542,-121.7196,,,,0,4.256360905548879e-11,3.290325265821602e-11,3.088358969714231e-10,1.0,2.61713714237291e-11,5.798601070552285e-12,1.9819610620035115e-12
WSU3_TOP,1.424,150.0,11.0,0.07,1.3,17.1,0.2,76.0,2.6,0.48,0.06,3.52,34.39,,0.201,6.929,34.473,0.0012,0.0016,0.0033,6.22,215.8057237,71.6651805,112.1818138,67.49,24.38,8.13,44.6663,-121.7191,,,,0,3.3503053641404563e-11,2.1776534776512376e-10,0.04915158558879439,1.0,2.0837076436201147e-11,3.0406975043824363e-12,3.9407076067880163e-13
WY01_TOP,,,,,,,,,,,,,,,,,,,,,7.28,182.7,,406.9,54.9,28.1,17.1,44.942634,-109.712562,2274.0,15.4,0.133,1,0.18475139352428382,0.04509562923878392,1.0552758496201198e-10,1.908812772831487e-10,6.533643582841184e-10,1.0,2.0987658854495002e-09
WY03_TOP,,398.0,17.0,1.09,9.7,3.6,1.1,109.0,34.83,6.79,0.97,43.61,48.93,732.62,0.903,11.222,12.427,,,,6.68,523.9,,667.0,46.8,34.1,19.2,44.016047,-109.143313,2440.0,22.6,0.241,2,0.0026821225235528928,0.02442472090292196,0.016356625283517945,0.01098955930389425,0.0002062243637086951,0.5904819354506902,1.0
