,NMF1,NMF2,NMF3,NMF4,NMF5,NMF6,NMF7,Class
C31 H38 O16,0.6365959668018653,0.2291254908657323,1.8492174467358817e-06,0.564782438680955,2.5105070760420363e-06,0.2565348624928025,0.2506625862368187,lignin
C30 H32 O14,0.7198921784448359,0.2284740655103072,1.8492174467358817e-06,0.617989649247517,2.5105070760420363e-06,0.2711177763332959,0.1274704161985687,lignin
C32 H36 O16,0.5715235642008382,0.138710179777253,1.8492174467358817e-06,0.4637129022556118,2.5105070760420363e-06,0.3436310617603303,0.3140769799355213,lignin
C32 H32 O16,0.5117060714760292,2.5669726331038952e-06,1.8492174467358817e-06,0.6139504031231897,2.5105070760420363e-06,0.3797311125828517,0.2551418949521612,lignin
C22 H29 O10 N1,0.4252852008154408,2.5669726331038952e-06,0.0322739730751655,0.625215873794974,2.5105070760420363e-06,0.1793983025132355,0.298838370673712,lignin
C32 H40 O17,0.5014111043849929,0.3974148563511384,1.8492174467358817e-06,0.6287785002175182,2.5105070760420363e-06,0.5856199916193257,0.0020977327677887,lignin
C29 H36 O11,0.4686403342140507,0.3631932218680423,1.8492174467358817e-06,0.6453462516627632,2.5105070760420363e-06,0.5625460056086691,4.282405132853128e-06,lignin
C30 H40 O11,0.4616508480850789,0.2297206559707478,1.8492174467358817e-06,0.7004669723867533,2.5105070760420363e-06,0.4254571402108017,4.282405132853128e-06,lignin
C29 H34 O11,0.5191640651473962,0.2579540405260016,1.8492174467358817e-06,0.6897150549072852,2.5105070760420363e-06,0.422734460590508,0.0836811081623299,lignin
C30 H42 O10,0.5805051526826829,0.2506203980254237,1.8492174467358817e-06,0.6792361503946855,2.5105070760420363e-06,0.4172559663966354,4.282405132853128e-06,lignin
C30 H36 O12,0.4691697909505661,0.3921744566973371,1.8492174467358817e-06,0.656004644622703,2.5105070760420363e-06,0.3649074180818193,0.0611221157032033,lignin
C31 H40 O16,0.310382870773664,0.208436947612,1.8492174467358817e-06,0.7110733484756864,2.5105070760420363e-06,0.5523495358663649,4.282405132853128e-06,lignin
C26 H30 O9,0.2630572619929468,0.2125391172172412,1.8492174467358817e-06,0.7170232317325897,2.5105070760420363e-06,0.5629233022767429,0.1157735982259135,lignin
C28 H34 O10,0.2329356210857923,0.1362692971173159,1.8492174467358817e-06,0.7608320975546173,2.5105070760420363e-06,0.5260989083813085,0.1027526660035947,lignin
C27 H32 O10,0.3031594009585499,0.3029069463382204,1.8492174467358817e-06,0.6711764084134869,2.5105070760420363e-06,0.5222841007007354,0.2119401312700767,lignin
C27 H34 O10,0.3468791941958361,0.3176905900174902,1.8492174467358817e-06,0.6773197672124053,2.5105070760420363e-06,0.4869251813274585,0.2900025992434649,lignin
C24 H34 O7,0.525944910571237,0.1969719529775242,1.8492174467358817e-06,0.6923201323889852,2.5105070760420363e-06,0.762539747650433,0.4407412365098681,lignin
C31 H42 O13,0.5764309196252083,0.2035614100443168,1.8492174467358817e-06,0.6785844273887576,2.5105070760420363e-06,0.7536795391065736,0.3092832253341641,lignin
C33 H40 O16,0.4400827558614759,0.1872832172701536,1.8492174467358817e-06,0.5516958104795547,2.5105070760420363e-06,0.727851323802456,0.2688450825742902,lignin
C31 H40 O13,0.4780626564917823,0.1932728043694404,1.8492174467358817e-06,0.724797788194257,2.5105070760420363e-06,0.6566104465697709,0.216711433119294,lignin
C22 H32 O6,0.5679560557210677,0.1832109730665937,1.8492174467358817e-06,0.7192793879065916,2.5105070760420363e-06,0.7647952634117037,0.1778338026428852,lignin
C32 H42 O14,0.5156997741728825,0.256713838773574,1.8492174467358817e-06,0.6718066593389411,2.5105070760420363e-06,0.8286723325790865,0.1183015956115789,lignin
C30 H44 O9,0.5630484302116423,0.3738968830830775,1.8492174467358817e-06,0.6328121515039756,2.5105070760420363e-06,0.8973922505894383,4.282405132853128e-06,lignin
C30 H42 O11,0.6541399267457307,0.270548635500733,1.8492174467358817e-06,0.6626644674417483,2.5105070760420363e-06,0.7089392958300064,4.282405132853128e-06,lignin
C30 H44 O11,0.6824109448547536,0.3112346024708154,1.8492174467358817e-06,0.6440687384804934,2.5105070760420363e-06,0.8261882765988433,0.1472081260313466,lignin
C29 H38 O16,0.6857012110253761,0.2798225632922864,1.8492174467358817e-06,0.5376557538597955,2.5105070760420363e-06,0.7085761367420009,0.2060519890408484,lignin
C27 H24 O11,0.6735612929223671,2.5669726331038952e-06,1.8492174467358817e-06,0.4511283729500778,2.5105070760420363e-06,0.8079408708187977,0.352317758955228,lignin
C28 H24 O12,0.7175135393638165,0.0454265399856853,1.8492174467358817e-06,0.4499241597044958,2.5105070760420363e-06,0.8475457940647321,0.2693644098235821,lignin
C22 H32 O13,0.6648990800182794,2.5669726331038952e-06,1.8492174467358817e-06,0.5700288466816336,2.5105070760420363e-06,0.7418229432341856,0.223987673807153,lignin
C26 H36 O15,0.5445743873660693,2.5669726331038952e-06,1.8492174467358817e-06,0.5853657715984558,2.5105070760420363e-06,0.7507569582622253,0.1600897330987368,lignin
C25 H20 O10,0.5251144440407173,2.5669726331038952e-06,1.8492174467358817e-06,0.4482846075879005,2.5105070760420363e-06,0.8504026767428804,0.2224232967056966,lignin
C20 H16 O7,0.5722805675963475,2.5669726331038952e-06,1.8492174467358817e-06,0.4452469130482053,2.5105070760420363e-06,0.9117511461575252,4.282405132853128e-06,lignin
C26 H38 O14,0.6489044179793101,2.5669726331038952e-06,1.8492174467358817e-06,0.5760110514681233,2.5105070760420363e-06,0.8063135937718139,4.282405132853128e-06,lignin
C26 H24 O10,0.6173630299653967,2.5669726331038952e-06,1.8492174467358817e-06,0.5744771964237192,2.5105070760420363e-06,0.720260586786498,4.282405132853128e-06,lignin
C27 H38 O15,0.5036662695816166,2.5669726331038952e-06,1.8492174467358817e-06,0.5719298440597717,2.5105070760420363e-06,0.785038510872059,4.282405132853128e-06,lignin
C32 H34 O14,0.4911138415709875,2.5669726331038952e-06,1.8492174467358817e-06,0.5841267796309796,2.5105070760420363e-06,0.816077931746882,4.282405132853128e-06,lignin
C25 H36 O7,0.4536169430477045,0.1578686150806393,1.8492174467358817e-06,0.7421129041306386,2.5105070760420363e-06,0.7034556299846014,4.282405132853128e-06,lignin
C31 H44 O13,0.5042921916970092,2.5669726331038952e-06,1.8492174467358817e-06,0.7738787302258394,2.5105070760420363e-06,0.7811490131085513,4.282405132853128e-06,lignin
C32 H42 O13,0.531218186231208,2.5669726331038952e-06,1.8492174467358817e-06,0.8135505914726505,2.5105070760420363e-06,0.6615693587079333,4.282405132853128e-06,lignin
C31 H42 O12,0.6114480772284808,2.5669726331038952e-06,1.8492174467358817e-06,0.7692480946174787,2.5105070760420363e-06,0.6981020090852663,0.156930873190598,lignin
C30 H42 O15,0.6143493308912843,2.5669726331038952e-06,1.8492174467358817e-06,0.8170537916443062,2.5105070760420363e-06,0.77701766916836,0.1542090444470632,lignin
C24 H26 O8,0.5585148725036488,2.5669726331038952e-06,1.8492174467358817e-06,0.7587840088646426,2.5105070760420363e-06,0.8994885626457483,0.1459037959690193,lignin
C23 H22 O8,0.6343910374255061,2.5669726331038952e-06,1.8492174467358817e-06,0.8118548263566461,2.5105070760420363e-06,0.8905627598884835,4.282405132853128e-06,lignin
C21 H24 O6,0.5972636602718928,2.5669726331038952e-06,1.8492174467358817e-06,0.8020497217777854,2.5105070760420363e-06,0.8819557803523189,4.282405132853128e-06,lignin
C28 H28 O11,0.5961872812986265,0.0559791844006965,1.8492174467358817e-06,0.7504891324810732,2.5105070760420363e-06,0.9586268916939742,4.282405132853128e-06,lignin
C22 H28 O6,0.5824530061006812,2.5669726331038952e-06,1.8492174467358817e-06,0.739086852902186,2.5105070760420363e-06,0.9744803165903152,4.282405132853128e-06,lignin
C27 H28 O10,0.6079684364199974,0.060494440932581,1.8492174467358817e-06,0.7535612277130768,2.5105070760420363e-06,0.8370240560280614,4.282405132853128e-06,lignin
C29 H32 O11,0.6961127648319009,0.0774112878367517,1.8492174467358817e-06,0.7438782266904311,2.5105070760420363e-06,0.8165312179078232,4.282405132853128e-06,lignin
C30 H44 O10,0.6930384316628992,0.1717614673346845,1.8492174467358817e-06,0.6795624655331525,2.5105070760420363e-06,0.8523327163041954,4.282405132853128e-06,lignin
C25 H26 O9,0.8337241163987363,0.0823373160076854,1.8492174467358817e-06,0.7134748192224718,2.5105070760420363e-06,0.9626454988284,4.282405132853128e-06,lignin
C29 H30 O12,0.9529365087653404,6.001019944156625e-05,1.8492174467358817e-06,0.7334589752464715,2.5105070760420363e-06,0.6442374651901073,0.2126296638767792,lignin
C24 H22 O9,0.976711375946513,2.5669726331038952e-06,1.8492174467358817e-06,0.7282987201883978,2.5105070760420363e-06,0.7813589457772867,0.1972527186694082,lignin
C30 H30 O13,1.0,0.0862011843277959,1.8492174467358817e-06,0.6750834953946168,2.5105070760420363e-06,0.8552332071796869,0.1873896724824406,lignin
C30 H32 O13,0.9991631864706834,0.0868435404417103,1.8492174467358817e-06,0.6770221823224596,2.5105070760420363e-06,0.8616731867591999,0.1848880310083549,lignin
C27 H26 O11,0.9570483736738372,0.1400009464202335,1.8492174467358817e-06,0.6568757760002323,2.5105070760420363e-06,0.8179645710164432,0.3153706510752138,lignin
C26 H26 O10,0.8086821001669846,0.0802435964840513,1.8492174467358817e-06,0.664096519118695,2.5105070760420363e-06,0.8302701390087955,0.3206057310833876,lignin
C28 H30 O11,0.8416147413143347,0.1200478969858967,1.8492174467358817e-06,0.6705703513815242,2.5105070760420363e-06,0.7045268635331622,0.2022381805123975,lignin
C34 H36 O16,0.2896188217593484,2.5669726331038952e-06,1.8492174467358817e-06,0.6000538465342021,2.5105070760420363e-06,0.8814398626326191,0.1496698617260142,lignin
C34 H40 O16,0.2244152703569408,2.5669726331038952e-06,1.8492174467358817e-06,0.6357313715714795,2.5105070760420363e-06,0.8585555904721442,4.282405132853128e-06,lignin
C26 H28 O9,0.352029108506851,2.5669726331038952e-06,1.8492174467358817e-06,0.6576414371233219,2.5105070760420363e-06,0.9162326550863946,4.282405132853128e-06,lignin
C34 H42 O14,0.3680272141302739,0.1515432741365883,1.8492174467358817e-06,0.7278320804676801,2.5105070760420363e-06,0.9074248387510238,4.282405132853128e-06,lignin
C30 H44 O8,0.2924424034616981,0.2553721358035281,1.8492174467358817e-06,0.68123524645034,2.5105070760420363e-06,0.8214435072175985,4.282405132853128e-06,lignin
C29 H42 O8,0.189249993607987,0.1143896064932253,1.8492174467358817e-06,0.7341065399269556,2.5105070760420363e-06,0.8115113374556161,0.0444151248241124,lignin
C34 H36 O18,3.577726848801236e-06,2.5669726331038952e-06,1.8492174467358817e-06,0.6148728331155127,2.5105070760420363e-06,0.6330302104493142,0.3023232402486808,lignin
C35 H40 O15,3.577726848801236e-06,2.5669726331038952e-06,1.8492174467358817e-06,0.6159068196386067,2.5105070760420363e-06,0.658792779563629,4.282405132853128e-06,lignin
C34 H40 O15,0.0794971052283785,2.5669726331038952e-06,1.8492174467358817e-06,0.615955094016714,2.5105070760420363e-06,0.8169506674341155,4.282405132853128e-06,lignin
C32 H36 O14,0.0783471280775741,2.5669726331038952e-06,1.8492174467358817e-06,0.8752786645091762,2.5105070760420363e-06,0.7673402357295942,0.1597583709657205,lignin
C33 H38 O15,0.075649721110172,2.5669726331038952e-06,1.8492174467358817e-06,0.836589075338121,2.5105070760420363e-06,0.8247549754666207,4.282405132853128e-06,lignin
C27 H38 O7,3.577726848801236e-06,2.5669726331038952e-06,1.8492174467358817e-06,0.8547103771691905,2.5105070760420363e-06,0.8299712747242626,4.282405132853128e-06,lignin
C26 H38 O7,0.1121284214824932,0.0876064215132858,1.8492174467358817e-06,0.8117636456205499,2.5105070760420363e-06,0.5965114377700629,4.282405132853128e-06,lignin
C35 H40 O17,0.0707808640597096,2.5669726331038952e-06,1.8492174467358817e-06,0.8154588848217946,2.5105070760420363e-06,0.6648379464291747,4.282405132853128e-06,lignin
C33 H44 O16,0.0818679062160255,2.5669726331038952e-06,1.8492174467358817e-06,0.8840420707613924,2.5105070760420363e-06,0.5919091356938448,4.282405132853128e-06,lignin
C33 H38 O14,3.577726848801236e-06,2.5669726331038952e-06,1.8492174467358817e-06,0.8924105873082766,2.5105070760420363e-06,0.5925992263209308,4.282405132853128e-06,lignin
C26 H36 O7,3.577726848801236e-06,2.5669726331038952e-06,1.8492174467358817e-06,0.868949920001379,2.5105070760420363e-06,0.5590613000274124,4.282405132853128e-06,lignin
C33 H46 O13,0.3687404187326673,2.5669726331038952e-06,1.8492174467358817e-06,0.7911264812900305,2.5105070760420363e-06,0.3859087672851407,4.282405132853128e-06,lignin
C30 H38 O11,0.4008514611421429,0.0465815651552139,1.8492174467358817e-06,0.8037120690784046,2.5105070760420363e-06,0.4677144449996678,4.282405132853128e-06,lignin
C31 H46 O12,0.3900219507127184,2.5669726331038952e-06,1.8492174467358817e-06,0.8324284061108331,2.5105070760420363e-06,0.4446959178049411,4.282405132853128e-06,lignin
C20 H24 O5,0.3590477188076069,2.5669726331038952e-06,1.8492174467358817e-06,0.8622782270533396,2.5105070760420363e-06,0.4561972030253174,4.282405132853128e-06,lignin
C31 H36 O12,0.3303000906045332,2.5669726331038952e-06,1.8492174467358817e-06,0.8417383675382063,2.5105070760420363e-06,0.4645782411623752,4.282405132853128e-06,lignin
