0.000000000000000000e+00,2.200000000000000178e+00,9.970000000000000639e+00,1.082000000000000028e+01,4.178731897175176624e-02,2.882492255719860119e-01
1.028000000000000025e+00,1.499999999999999944e-01,8.100000000000000533e-01,3.180000000000000160e+00,2.242837118548648978e-02,1.595671932336202858e-01
1.094999999999999973e+00,5.540000000000000036e+00,1.725000000000000000e+01,1.926999999999999957e+01,2.734960777475650695e-02,1.417632302757879936e-01
1.187999999999999945e+00,2.600000000000000089e+00,8.189999999999999503e+00,1.233999999999999986e+01,4.296907339318013080e-02,1.728946977521761130e-01
1.249000000000000110e+00,7.600000000000000089e-01,9.689999999999999503e+00,1.614999999999999858e+01,4.960561259497315439e-02,2.276296495710087020e-01
1.312999999999999945e+00,3.299999999999999822e+00,1.469999999999999929e+01,3.774000000000000199e+01,7.335170238690094657e-02,4.949889736831680764e-01
1.110000000000000098e+00,1.870000000000000107e+00,1.685000000000000142e+01,2.144000000000000128e+01,8.813608870055129885e-02,4.945719842301986580e-01
1.294000000000000039e+00,5.000000000000000000e-01,2.629999999999999893e+00,1.599000000000000021e+01,4.020662757471112070e-02,5.056925074122000652e-01
1.264000000000000012e+00,6.099999999999999867e-01,2.370000000000000107e+00,1.189000000000000057e+01,4.921802267018165339e-02,3.590762260592629262e-01
1.165999999999999925e+00,5.699999999999999512e-01,5.250000000000000000e+00,9.300000000000000711e+00,4.414762087872280139e-02,1.801258751640539557e-01
1.155000000000000027e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.441000000000000059e+00,6.169999999999999929e+00,3.307000000000000028e+01,5.535999999999999943e+01,3.100428136353682376e-02,7.129021250472227234e-01
1.159000000000000030e+00,3.220000000000000195e+00,2.133999999999999986e+01,1.778000000000000114e+01,5.994188806195468316e-02,4.099331233312946132e-01
1.205999999999999961e+00,7.900000000000000355e-01,3.189999999999999947e+00,1.473000000000000043e+01,5.804623039528174211e-02,2.826221128780626035e-01
1.241000000000000103e+00,1.179999999999999938e+00,2.720000000000000195e+00,1.230000000000000071e+01,2.897770520877799780e-02,2.422929049829309067e-01
1.028999999999999915e+00,5.200000000000000178e-01,3.500000000000000000e+00,5.790000000000000036e+00,3.140846425162411443e-02,2.289134059946880684e-01
1.028999999999999915e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.258000000000000007e+00,1.530000000000000027e+00,8.660000000000000142e+00,8.839999999999999858e+00,3.702787975577494228e-02,3.228392726863210660e-01
1.008000000000000007e+00,1.209999999999999964e+00,9.349999999999999645e+00,7.990000000000000213e+00,3.422726077055066041e-02,1.389339402569236825e-01
1.203000000000000069e+00,2.330000000000000071e+00,1.049000000000000021e+01,1.121000000000000085e+01,5.346260492545529264e-02,2.452658394574612211e-01
1.012999999999999901e+00,5.799999999999999600e-01,5.349999999999999645e+00,6.580000000000000071e+00,5.269394192496786034e-02,3.005954838899634884e-01
0.000000000000000000e+00,1.520000000000000018e+00,1.757999999999999829e+01,1.497000000000000064e+01,5.880548667590679984e-02,3.434085938038573538e-01
1.088000000000000078e+00,3.200000000000000067e-01,1.659999999999999920e+00,2.299999999999999822e+00,1.745072951053612542e-02,8.742645703628548759e-02
1.000000000000000000e+00,4.199999999999999845e-01,3.759999999999999787e+00,9.380000000000000782e+00,1.994668167884230264e-02,6.107532362979180979e-02
1.298999999999999932e+00,1.900000000000000022e-01,1.429999999999999938e+00,1.359999999999999964e+01,3.382569395331033041e-02,4.168068718229444025e-01
1.141999999999999904e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.181000000000000050e+00,2.000000000000000111e-01,1.110000000000000098e+00,8.009999999999999787e+00,5.994188806195468316e-02,6.238692683503022085e-01
