Sample,mean_GWC,K_mg_per_kg,SO4.S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,Ca_Meq_per_100_g,Mg_Meq_per_100_g,Na_Meq_per_100_g,Total_Bases_Meq_per_100_g,CEC_Meq_per_100_g,Total_Sulfur_pct,Total_Nitrogen_pct,Total_Carbon_pct,C_to_N_ratio,NO3.N_mg_per_g_of_soil_mean,NH4.N_mg_per_g_of_soil_mean,P_Bicarb_mg_per_g_of_soil_mean,pH,B.glucosidase_ug_pNP_per_g_per_hour,Respiration_96_h_ug_CO2.C_per_g_soil_per_day,Respiration_24_h_ug_CO2.C_per_g_soil_per_day,Sand_pct,Silt_pct,Clay_pct,Lat,Long,Elev.m,Soil.Temperature.C,VolWaterContent.m3.m3,Kmeans
ORNL_BTM,1.188,69.0,14.0,0.15,0.3,30.9,0.2,14.0,0.48,0.07,0.08,0.81,16.36,65.1,0.069,0.655,9.493,0.0004,0.0015,0.0017,4.91,7.5,,22.1,41.3,33.8,24.9,35.96337,-84.28182,310.0,23.2,0.382,0
OSBS_BTM,1.056,39.0,3.0,0.16,0.2,0.5,0.1,39.0,0.35,0.09,0.06,0.6,0.96,33.35,0.054,0.297,5.5,0.0005,0.0009,0.0015,5.09,1.7,,7.3,92.2,1.0,6.9,29.691389,-81.988611,40.0,26.0,0.097,0
PETF_BTM,,11.0,10.0,0.31,1.6,10.2,0.7,40.0,3.64,0.64,0.1,4.41,4.87,69.88,0.136,1.26,9.265,0.433333333,0.633333333,4.666666667,6.42,45.41,15.72,35.93,40.11,41.92,17.97,41.553175,-70.639839,1.0,6.6,0.419,0
PHTU_BTM,1.205,68.0,3.0,0.13,1.2,0.8,0.3,26.0,4.18,0.35,0.04,4.74,15.38,16.56,0.083,1.393,16.783,0.0004,0.0007,0.008,7.08,31.01,45.37,75.4,80.05,9.97,9.97,39.982739,-75.154164,20.0,19.1,0.345,1
PPRH_BTM,1.204,86.0,14.0,0.58,6.7,11.1,4.3,50.0,10.04,1.52,0.13,11.91,11.83,222.0,0.164,10.648,64.927,0.0007,0.0006,0.0141,6.71,4.9,6.02,11.36,40.53,38.97,20.51,40.050291,-75.033307,31.0,16.5,0.4505,0
PRS1_BTM,1.144,553.0,2.0,0.35,0.6,3.4,0.6,10.0,15.3,2.68,0.1,19.5,14.62,246.17,0.229,2.311,10.092,2.366666667,0.366666667,0.0,7.71,175.65,17.02,37.82,60.09,27.94,11.97,46.251743,-119.728729,300.0,3.6,0.177,0
PRS2_BTM,1.112,360.0,5.0,0.92,1.8,7.8,0.6,15.0,11.44,2.02,0.1,14.48,12.4,72.41,0.039,0.25,6.41,2.5,0.2,0.0,8.58,19.85,4.6,7.28,54.02,35.99,10.0,46.251755,-119.728843,300.0,3.4,0.194,0
RMNP_BTM,1.029,111.0,2.0,0.25,0.2,1.2,0.1,77.0,2.65,0.52,0.05,3.5,5.79,41.81,0.075,0.694,9.253,0.0003,0.0008,0.0161,5.67,10.7,,14.0,65.1,21.8,13.1,40.20332,-105.480967,2585.0,31.6,0.045,0
SCBI_BTM,1.188,165.0,6.0,0.18,0.5,17.2,1.7,36.0,5.11,2.6,0.06,8.19,12.34,25.78,0.104,0.489,4.702,0.0011,0.0011,0.0022,6.37,6.7,,29.4,27.1,33.8,39.1,38.8896,-78.13865,312.0,22.1,0.23,0
SERC_BTM,1.264,125.0,28.0,0.45,1.6,8.3,0.7,158.0,1.35,0.61,0.09,2.37,11.89,135.59,0.12,1.286,10.717,0.0006,0.0016,0.0307,4.61,10.0,,28.7,45.1,27.8,27.1,38.8912,-76.56173,24.0,22.3,0.466,0
SJER_BTM,1.013,350.0,3.0,0.32,1.0,7.2,0.2,52.0,3.81,0.58,0.06,5.35,6.58,107.04,0.129,0.998,7.736,0.001,0.0012,0.014,6.61,92.1,,28.4,65.1,23.9,11.0,37.111218,-119.736475,383.0,31.8,0.027,0
SOAP_BTM,1.101,245.0,2.0,0.18,0.01,2.6,0.1,25.0,1.81,0.25,0.08,2.77,10.74,80.29,0.101,0.935,9.257,0.0003,0.0018,0.0136,6.5,11.7,,9.9,65.1,21.9,13.1,37.033662,-119.263687,1169.0,25.7,0.042,0
SRER_BTM,1.008,133.0,6.0,0.49,0.3,2.0,4.0,2.0,14.14,0.9,0.08,15.46,16.76,451.44,0.071,3.222,45.38,,,,8.68,7.8,,15.6,65.1,18.0,17.0,31.9114,-110.8359,,,,0
SRR1_BTM,1.032,205.0,8.0,0.25,0.3,6.1,0.6,21.0,3.95,1.26,0.15,5.89,6.31,87.48,0.072,0.303,4.208,0.0008,0.0012,0.0038,6.89,4.6,,18.4,65.0,14.0,21.0,31.799945,-110.87298,1160.0,37.8,0.025,0
TALL_BTM,1.148,121.0,47.0,0.15,0.1,0.8,0.2,15.0,0.74,0.36,0.12,1.53,5.26,94.59,0.063,0.434,6.889,,,,5.69,7.2,,17.4,53.0,18.0,29.1,32.950693,-87.392825,,,,0
TEAK_BTM,1.181,76.0,5.0,0.16,0.01,3.5,0.1,16.0,0.64,0.2,0.08,1.11,8.01,110.16,0.148,3.206,21.662,0.0008,0.0018,0.0034,7.25,10.6,,13.8,72.9,20.2,7.0,37.00583,-119.00602,,,,0
UKFS_BTM,1.313,194.0,16.0,0.36,0.7,10.4,1.3,91.0,10.58,3.3,0.32,14.7,37.74,169.94,0.184,2.126,11.554,0.0011,0.0028,0.0018,5.54,4.0,,27.3,16.8,42.2,41.1,39.0407,-95.19161,274.0,25.9,0.335,0
UT12_BTM,1.441,332.0,19.0,0.88,0.5,13.9,2.4,241.0,25.76,6.17,0.29,33.07,55.36,243.14,0.074,4.163,56.257,0.0006,0.0032,0.0013,5.87,34.6,,156.9,32.8,8.2,59.0,40.84693464,-109.7125711,2473.0,32.1,0.423,2
UT19_BTM,1.142,,,,,,,,,,,,,,,,,0.0007,0.0023,0.0015,7.63,50.5,,179.3,24.9,38.1,37.0,40.70183709,-109.5818412,2610.0,19.5,0.111,2
UT23_BTM,1.11,194.0,6.0,0.41,0.3,8.1,0.4,50.0,14.43,1.87,0.05,16.85,21.44,36.97,0.225,2.123,9.436,0.0007,0.0021,0.002,7.04,65.0,,36.0,47.1,28.0,25.0,40.68529298,-109.4999502,2502.0,26.8,0.108,0
UT24_BTM,1.124,259.0,4.0,0.23,0.5,18.1,0.5,20.0,29.03,3.55,0.08,33.32,35.04,17.83,0.093,0.51,5.484,0.001,0.002,0.0013,6.07,26.2,,36.2,55.2,11.9,33.0,40.68204,-109.647218,2746.0,25.8,0.147,0
UT32_BTM,1.029,,,,,,,,,,,,,,,,,0.0007,0.0013,0.0017,6.94,23.2,,22.4,69.1,16.1,14.9,40.6195637,-109.61135,2362.0,39.0,0.082,0
WLLO_BTM,1.292,47.0,6.0,0.24,20.6,25.6,5.8,34.0,10.26,3.32,0.06,13.76,12.64,173.89,0.18,2.536,14.089,0.0005,0.0038,0.0144,7.35,55.6,62.03,131.62,54.04,25.98,19.98,39.290382,-76.744543,139.0,12.8,0.388,2
WLUP_BTM,1.353,137.0,13.0,0.63,24.1,28.5,9.5,88.0,9.94,3.52,2.71,16.52,13.46,157.38,0.131,1.348,10.29,0.0016,0.0007,0.0151,7.51,25.52,24.65,42.6,30.08,43.18,26.73,39.290308,-76.74376,139.0,13.9,0.422,1
WSU1_BTM,1.299,31.0,6.0,0.1,0.4,1.2,1.5,21.0,1.13,0.19,0.03,1.43,13.6,,0.081,1.611,19.889,0.0012,0.0018,0.0002,6.34,47.27757023,10.70951415,19.98723514,75.7,16.2,8.1,44.6464,-121.7101,,,,0
WSU2_BTM,1.294,48.0,6.0,0.07,0.2,2.0,1.0,24.0,1.95,0.5,0.06,2.63,15.99,,0.097,2.204,22.722,0.001,0.0016,0.0009,6.8,87.83419359,19.21228899,30.63446816,73.36,18.45,8.2,44.6542,-121.7196,,,,0
WSU3_BTM,1.46,53.0,5.0,0.05,0.4,4.0,0.7,37.0,0.96,0.2,0.04,1.34,19.72,,0.106,2.182,20.585,0.001,0.0016,0.0003,6.64,115.4732212,21.43681044,32.49656481,65.99,24.94,9.07,44.6663,-121.7191,,,,0
WY01_BTM,,111.0,4.0,0.18,0.7,2.6,1.3,26.0,15.7,1.52,0.08,17.58,14.97,121.92,0.145,1.205,8.31,,,,7.72,7.8,,13.1,56.9,24.1,19.0,44.942634,-109.712562,2274.0,15.4,0.133,0
WY03_BTM,,,,,,,,,,,,,,,,,,,,,7.13,115.7,,85.1,50.9,28.0,21.2,44.016047,-109.143313,2440.0,22.6,0.241,1
WY09_BTM,,,,,,,,,,,,,,,,,,,,,6.4,19.9,,82.6,26.7,44.2,29.2,43.583143,-109.946757,2802.0,22.5,0.3365,1
WY10_BTM,,98.0,7.0,0.23,0.3,2.8,0.2,73.0,15.7,1.39,0.14,17.48,19.0,16.52,0.232,1.688,7.276,,,,6.59,36.2,,27.5,50.9,26.0,23.2,43.582587,-109.97175,2865.0,13.4,0.1875,0
WY15_BTM,,97.0,6.0,0.28,0.3,15.5,0.7,107.0,3.64,0.98,0.08,4.95,11.96,180.9,0.115,0.95,8.261,,,,5.51,10.7,,16.6,62.9,20.0,17.1,42.581893,-108.751004,2639.0,23.0,0.2765,0
